timestamp,correction_hPa
2026-01-29 12:01:19,-1.74
2026-01-29 12:11:21,-1.77
2026-01-29 12:21:21,-1.79
2026-01-29 12:31:21,-1.78
2026-01-29 12:41:22,-1.76
2026-01-29 12:51:22,-1.74
2026-01-29 13:01:23,-1.72
2026-01-29 13:11:25,-1.72
2026-01-29 13:21:25,-1.71
2026-01-29 13:31:25,-1.7
2026-01-29 13:41:26,-1.68
2026-01-29 13:51:26,-1.66
2026-01-29 14:01:27,-1.63
2026-01-29 14:11:28,-1.62
2026-01-29 14:21:29,-1.61
2026-01-29 14:31:29,-1.62
2026-01-29 14:41:30,-1.65
2026-01-29 14:51:30,-1.68
2026-01-29 15:01:30,-1.74
2026-01-29 15:11:32,-1.8
2026-01-29 15:21:33,-1.87
2026-01-29 15:31:33,-1.96
2026-01-29 15:41:33,-2.05
2026-01-29 15:51:34,-2.15
2026-01-29 16:01:34,-2.25
2026-01-29 16:11:36,-2.34
2026-01-29 16:21:36,-2.43
2026-01-29 16:31:37,-2.5
2026-01-29 16:41:37,-2.57
2026-01-29 16:51:37,-2.65
2026-01-29 17:01:38,-2.73
2026-01-29 17:11:40,-2.8
2026-01-29 17:21:40,-2.87
2026-01-29 17:31:40,-2.93
2026-01-29 17:41:41,-3.0
2026-01-29 17:51:41,-3.07
2026-01-29 18:01:41,-3.15
